OrderID,CustomerName,Gender,Email,Phone,Product,Category,SubCategory,Quantity,UnitPrice,TotalAmount,OrderDate,ShipDate,Region,PaymentMode,City,State
ORD103314,PARKER Dutta,M,parker.@mailinator.com,-2712855228,Margherita Pizza,Food,Pizza,5,51.36,256.8,19-08-2024,05-05-2025,North-Zone,cash,Hyderabad,Telangana 
ORD101073,Jordan kapoor,F ,jordan.@hotmail.com,8977222353,V3g Burg3r,Food,Burger,6,724.91,4349.46,14-Feb-25,10-08-2026,Eas,Cash ,Chennai ,Tamil Nadu
ORD103712,SKYLER Desai,,skyler.@outlook.com,9223950247,Pepperoni Pizza,Food,Pizza,1,807.8,807.8,2025-03-26T00:00:00,03 13 25,north ,online ,Pune ,Maharashtra
ORD103766,Angel  Kulkarni,Non-binary,angelgmailcom,-9264773745,Garlic Bread,Food,Sides,1,981.62,841.6,11-Feb-23,2023.09.19,NORTH,ON line,BENGALURU,Karnataka 
ORD104692,Taylor agarwal,M,taylor.x@outlook.com,-9961556497,Paneer Wrap,Food,Wrap,6,972.82,5836.92,2023.12.11,06-05-2024,WEST,ON line,Jaipur ,RAJASTHAN
ORD101350,Kai Sharma,MALE,kai@outlook.com,9681248526,Latte,Beverages,Coffee,1,963.61,963.61,01-06-2025,1768348800,Wes,upi,Bengaluru,K@rn@t@k@
ORD101610,AVERY Khan,F ,avery.com,+91 8730186075,coke 500ml,B3v3rag3s,Soft Drink,2,78.93,157.86,05 27 25,,north ,net banking,AHMEDABAD,gujarat
ORD104958,Harper verma,MALE,harper.12@example.com,-8091336166,Espresso,Beverages,Coffee,4,461.89,1847.56,25-Feb-23,,South region,Card,Ahmedabad,GUJARAT
ORD104941,Jesse  Gupta,female,jesse.x@gmail.com,,garlic bread,Food,Sides,2,707.36,1414.72,17-06-2027,2024.09.16,Cen,on line,Pune ,Maharashtra
ORD101140,SAM Verma,,,9758073330,Ch33s3 Fri3s,Food,Sides,4,1115.41,4461.64,09-10-2025,2025-06-14T00:00:00,WEST,online ,Chennai ,tamil nadu
ORD102932,Jordan Kulkarni,Unknown,jordan.@company.co,8184759300,chicken burger,Food,Burger,4,184.72,738.88,03 30 24,15 11 2024,SOUTH,ON line,Ahmedabad,Gujarat
ORD102524,Casey sharma,female,casey.@gmail.com,,Garlic Br3ad,Food,Sides,1,522.31,522.31,"Oct 07, 2024",21-Oct-26,East region,UPI ,DELHI,delhi
ORD102960,JAMIE Shah,male,jamie.x@mailinator.com,-2856910101,Mango Smoothie,Beverages,Smoothie,4,618.25,2695.32,02 01 27,05-02-2025,north ,online ,Ahmedabad ,GUJARAT
ORD103446,Sasha verma,female,sasha.x@example.com,-8926603213,Espresso,Beverages,Coffee,2,182.7,365.4,04-01-2026,09.08.2023,north ,UPI,Ahmedabad,Guj@r@t
ORD103458,angel Sharma,female,angel.x@yahoo.com,9593081303 ext 323,Latte,Beverages,Coffee,4,966.53,3866.12,,17-06-2022,Sou,on line,chennai,tamil nadu
ORD103072,Robin Iyer,female,robin.12@hotmail.com,+91 7481745377,PEPPERONI PIZZA,Food,Pizza,2,112,224,04-10-2022,1647216000,North  ,Cashier,Jaipur,RAJASTHAN
ORD101586,Cameron mehta,Unknown,cameron.@hotmail.com,-3728871481,CHEESE FRIES,Food,Sides,5,816.43,4082.15,,05/24/26,west,Net Banking,Kolkata,WEST BENGAL
ORD102456,DREW Kapoor,female,drew39@outlook.com,9855407103,MARGHERITA PIZZA,Food,Pizza,1,646.34,646.34,04-02-2026,29 08 2025,north ,cash,Bengaluru,karnataka
ORD103852,Parker dutta,Female,parker.x@yahoo.com,7913429168,Tandoori Chick3n,Food,Main,6,956.44,5738.64,25 12 2022,02-Jan-26,north ,ON line,Lucknow,Utt@r Pr@desh
ORD104641,sam Nair,male,sam90@yahoo.com,7802190904 ext 448,Veg Burger ,Food,Burger,1,1098.58,1098.58,25-Sep-23,1686528000,CENTRAL,Cash ,kolkata,WEST BENGAL
ORD101708,Harper mehta Jr,female,harper@gmail,(610) 8096521,paneer wrap,Food,Wrap,4,901.23,3604.92,30-08-2025,2024.08.11,South  ,Cashier,Lucknow,uttar pradesh
ORD100655,Rowan verma,Unknown,rowangmailcom,+91 7710392953,Mango Smoothi3,Beverages,Smoothie,2,207.21,414.42,1700179200,2023 10 26,central,UPI,AHMEDABAD,Gujarat
ORD101311,Casey  Dutta,Male,casey.@mailinator.com,9186759929,Butter Naan,Food,Bread,5,314,1570,"Nov 23, 2026",2024-06-25T00:00:00,Wes,Card,LUCKNOW,uttar pradesh
ORD103565,QUINN Chaudhary,nb,quinn.@gmail.com,,MANGO SMOOTHIE,Beverages,Smoothie,6,987.97,5927.82,"Jun 22, 2023",1724198400,North  ,ON line,Kolkata,WEST BENGAL
ORD103160,Charlie Dutta,F,charliegmailcom,-7548694441,Paneer Wrap ,Food,Wrap,2,753.12,1506.24,1666396800,18-10-2025,West  ,Cash ,Chennai ,Tamil Nadu
ORD102648,ROWAN Nair,nb,rowan.@company.co,8519045934 ext 514,cheese fries,Food,Sides,4,557.92,2231.68,05.05.2023,2023.09.18,West region,online ,LUCKNOW,UTTAR PRADESH
ORD100376,Charlie singh,,charlie.@yahoo.com,(709) 6153966,LATTE,Beverages,Coffee,5,415.57,2077.85,11-Feb-23,11-Jan-25,East  ,Card ,bengaluru,KARNATAKA
ORD101549,cameron Kapoor,Female,cameron38@company.co,9651295050 ext 425,Veg Burger ,Food,Burger,2,340.02,680.04,2023 04 07,2026.01.14,Central-Zone,on line,Jaipur,Rajasthan 
ORD101915,charlie Agarwal Jr,Female,charlie.x@hotmail.com,6046720722,Pepperoni Pizza ,Food,Pizza,5,784.73,3923.65,2023 09 20,1699747200,west,Cash ,MUMBAI,MAHARASHTRA
